使用状态,资产名称,资产类型,唯一码,资产编码,所属产线,使用位置,启用日期,责任部门,使用部门,使用负责人,点巡检配置,点巡检状态
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYF-4K-5,,,公寓F/楼顶入口,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYF-4K-6,,,公寓F/楼顶入口,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYE-4K-1,,,公寓E/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYE-4K-2,,,公寓E/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYD-4K-1,,,公寓D/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYD-4K-2,,,公寓D/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYC-4K-1,,,公寓C/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYC-4K-2,,,公寓C/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYB-4K-1,,,公寓B/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYB-4K-2,,,公寓B/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYA-4K-1,,,公寓A/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,GYA-4K-2,,,公寓A/一层与二层楼梯间,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-13,,,食堂/食堂小餐厅西侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-12,,,食堂/食堂小餐厅东侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-11,,,食堂/食堂操作间调料库门口左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-10,,,食堂/食堂操作间物流门左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-9,,,食堂/食堂操作间白案间门口右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-8,,,食堂/食堂一层用餐大厅西侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-7,,,食堂/食堂一层用餐大厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-6,,,食堂/多功能厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-5,,,食堂/多功能厅吸烟室,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-4,,,食堂/多功能厅大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-3,,,食堂/多功能厅大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-2,,,食堂/食堂一层用餐大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ST-XHS-1,,,食堂/食堂一层用餐大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,ST-MT3-2,,,食堂/食堂弱电室,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,ST-MT3-1,,,食堂/食堂弱电室,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-26,,,食堂/食堂小餐厅西侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-25,,,食堂/食堂小餐厅西侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-24,,,食堂/食堂小餐厅东侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-23,,,食堂/食堂小餐厅东侧楼道口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-22,,,食堂/食堂操作间调料库门口左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-21,,,食堂/食堂操作间调料库门口左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-20,,,食堂/食堂操作间物流门左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-19,,,食堂/食堂操作间物流门左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-18,,,食堂/食堂操作间白案间右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-17,,,食堂/食堂操作间白案间右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-16,,,食堂/食堂一层用餐大厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-15,,,食堂/食堂一层用餐大厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-14,,,食堂/食堂一层用餐大厅西侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-13,,,食堂/食堂一层用餐大厅西侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-12,,,食堂/多功能厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-11,,,食堂/多功能厅洗手间门口,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-10,,,食堂/多功能厅吸烟室,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-9,,,食堂/多功能厅吸烟室,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-8,,,食堂/多功能厅大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-7,,,食堂/多功能厅大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-6,,,食堂/多功能厅大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-5,,,食堂/多功能厅大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-4,,,食堂/食堂一层用餐大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-3,,,食堂/食堂一层用餐大厅外右侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-2,,,食堂/食堂一层用餐大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,ST-4K-1,,,食堂/食堂一层用餐大厅外左侧,2025-06-15,人事行政部,人事行政部,黄志祥,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-6,,,办公楼/小文档室,2025-06-15,人事行政部,人事行政部,佘茜,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-5,,,办公楼/小文档室,2025-06-15,人事行政部,人事行政部,佘茜,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-4,,,办公楼/大文档室,2025-06-15,人事行政部,人事行政部,罗莲芳,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-3,,,办公楼/大文档室,2025-06-15,人事行政部,人事行政部,罗莲芳,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-2,,,办公楼/中控室,2025-06-15,人事行政部,人事行政部,徐龙,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,BGL-MT3-1,,,办公楼/中控室,2025-06-15,人事行政部,人事行政部,徐龙,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-8,,,办公楼/办公区二层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-7,,,办公楼/办公区二层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-6,,,办公楼/办公区二层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-5,,,办公楼/办公区二层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-4,,,办公楼/办公区一层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-3,,,办公楼/办公区一层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-2,,,办公楼/办公区一层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,BGL-4K-1,,,办公楼/办公区一层,2025-06-15,人事行政部,人事行政部,张登枢,未配置,正常
