序号,物料大类,条码/物料编码,物料名称/描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,供应链可用状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产,税率(%),物料来源,ABC分类,创建时间
34,综合物资,50012244,台历/普通款HM/2025,,渠道促销品宣传常规,本,,RCX红牛促销品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
35,综合物资,50009173,笔记本/2023,,渠道促销品宣传常规,本,,RCX红牛促销品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
36,综合物资,50009172,台历/升级款/2023,,渠道促销品宣传常规,本,,RCX红牛促销品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
37,综合物资,50009171,台历/普通款/2023,,渠道促销品宣传常规,本,,RCX红牛促销品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
38,综合物资,50008029,笔记本/2022,,渠道促销品宣传常规,本,,RCX红牛促销品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
39,综合物资,55000466,BG-公牛 GN-UUTQ12 魔方插座 插线板 插排 拖线板 1.5米,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
40,综合物资,55000465,BG-公牛 GNV-M103W 魔方插座 一转三 3位 白色 无线,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
41,综合物资,55000464,BG-雷达 无味 杀虫气雾剂 600ml,,办公用品,瓶,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
42,综合物资,55000463,BG-得力 6906 中性笔芯 0.5mm 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
43,综合物资,55000462,BG-得力 6796 台式中性笔 0.5mm 灰色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
44,综合物资,55000460,BG-悦山 商务职员椅网椅 600*660*1020mm,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
45,综合物资,55000459,BG-得力 9911 碎纸机 德标4级（单次8张 16L 持续10分钟 可碎卡碎,,办公用品,台,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
46,综合物资,55000458,BG-闪迪 DDC3高速酷柔手机U盘 256GB Type-C USB3.1 黑,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
47,综合物资,55000457,BG-闪迪 SDCZ48-256G Z46 至尊高速 U盘 USB3.0 256,,办公用品,片,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
48,综合物资,55000456,BG-金士顿 DTSE9G3 U盘 DTSE9G3 512G,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
49,综合物资,55000455,BG-金士顿 DTMAX/512G U盘 USB3.2 银黑色,,办公用品,条,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
50,综合物资,55000454,BG-西部数据 WDBUZG0010BBK Element 移动硬盘 1T US,,办公用品,片,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
51,综合物资,55000453,BG-茶花 07061T 吉虹衣架 挑色需线下沟通 41.8*21.3*0.84,,办公用品,组,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
52,综合物资,55000452,BG-维达 V0036C 超韧4层8张手帕纸 210*210mm 36包/条,,办公用品,条,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
53,综合物资,55000451,BG-维达 VW1009 去菌湿巾 温和无香 单片独立装 10片/包,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
54,综合物资,55000450,BG-公牛 GN-212 (新）单控三联插座 1.8米,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
55,综合物资,55000408,BG-传美 复印纸 140*210mm 80g 500张/包 10包/箱,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
56,综合物资,55000407,史泰博 80G 常规装复印纸 A5 白色,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
57,综合物资,55000406,BG-史泰博 241四联二等分压线 电脑打印纸 色序-白蓝红黄 彩色 1000页,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
58,综合物资,55000404,BG-史泰博 SX48-1 小号金属色美工刀 9mm,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
59,综合物资,55000403,BG-得力 9070 手工白胶 40ml 混色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
60,综合物资,55000402,BG-得力 30325 封箱胶带 60mm*100y*50um 透明色,,办公用品,卷,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
61,综合物资,55000401,BG-得力 30320 封箱胶带 60mm*30y*50um 透明色,,办公用品,卷,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
62,综合物资,55000400,BG-西玛 SZ600171 A5凭证装订封面 212*150mm 25套/包,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
63,综合物资,55000399,BG-优玛仕 6mm*50mm 空心钻刀 1支/盒 金属银色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
64,综合物资,55000398,BG-得力 5302 双强力夹 A4 蓝色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
65,综合物资,55000397,BG-得力 5302 双强力夹 A4 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
66,综合物资,55000396,BG-得力 0236 重型起钉器 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
67,综合物资,55000395,BG-得力 9256 书写板夹 A4,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
68,综合物资,55000394,BG-得力 5308 单长压夹 A4 蓝色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
69,综合物资,55000393,BG-得力 30CM钢直尺8463,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
70,综合物资,55000392,BG-得力 8462 钢直尺 20cm,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
71,综合物资,55000391,BG-得力 8461 钢直尺 15cm,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
72,综合物资,55000390,BG-得力 6055 特氟龙剪刀,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
73,综合物资,55000389,BG-得力 6010 剪刀 210mm 黑色,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
74,综合物资,55000388,BG-得力 7093 固体胶 36g 112*30mm,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
75,综合物资,55000387,BG-得力 7382 修正液 12ml,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
76,综合物资,55000384,BG-晨光 MF5301 米菲插盖式荧光笔 粉色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
77,综合物资,55000383,BG-晨光 MF5301 米菲插盖式荧光笔 黄色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
78,综合物资,55000382,BG-晨光 MF5301 米菲插盖式荧光笔 绿色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
79,综合物资,55000381,BG-晨光 MF5301 米菲插盖式荧光笔 紫色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
80,综合物资,55000380,BG-晨光 MF5301 插盖式荧光笔 橙色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
81,综合物资,55000379,BG-得力 6824 记号笔 思达小双头 红色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
82,综合物资,55000378,BG-得力 6824 记号笔 思达小双头 蓝色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
83,综合物资,55000377,BG-得力 6824 小双头油性记号笔 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
84,综合物资,55000376,BG-得力 S01 中性笔 0.5mm 红色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
85,综合物资,55000375,BG-得力 S01 中性笔 0.5mm 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
86,综合物资,55000374,BG-得力 6916 中性笔芯 0.5mm 红色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
87,综合物资,55000373,BG-得力 6916 中性笔芯 0.5mm 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
88,综合物资,55000372,BG-得力 5004 经济型资料册A4 40页 蓝色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
89,综合物资,55000371,BG-得力 5005 经济型资料册A4 60页 蓝色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
90,综合物资,55000370,BG-得力 5006 经济型资料册A4 80页 蓝色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
91,综合物资,55000361,BG-晨光 MG6100 笔芯 0.38mm 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
92,综合物资,55000360,BG-晨光 K37 插盖式中性笔 0.38 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
93,综合物资,55000359,BG-得力 8597 推夹器 (1推夹器+8补充夹)透明白,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
94,综合物资,55000358,BG-得力 824 金属封箱器 6cm 红色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
95,综合物资,55000357,BG-凯丰  30kg电子秤,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
96,综合物资,55000356,BG-冰禹 不锈钢台秤 高精度电子秤 150公斤,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
97,综合物资,55000355,BG-东洋 SA-101 油漆笔 2.8mm 白色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
98,综合物资,55000354,BG-金万年 G-09401 秀丽笔 大楷,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
99,综合物资,55000353,BG-得力 33625 纳米双面胶带 15mm*3m*1mm (2卷/盒),,办公用品,盒,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
100,综合物资,55000352,BG-得力 JL521 强力纳米胶带无痕双面胶 30mm*2m*2mm,,办公用品,卷,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
101,综合物资,55000351,BG-得力 33607 纳米双面胶带 28mm*28mm*1mm（20片/包）,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
102,综合物资,55000350,BG-得力 7834 白板擦 125*50*25mm,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
103,综合物资,55000349,BG-得力 7090 高粘性固体胶 15G 白色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
104,综合物资,55000348,BG-得力 2031 小号美工刀 9mm 灰白色,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
105,综合物资,55000347,BG-得力 0578 卷笔刀 迷你 随机色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
106,综合物资,55000346,BG-真彩 009T 台笔 0.5MM 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
107,综合物资,55000345,BG-史泰博 彩色 分类纸 数字1-5，5色 A4,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
108,综合物资,55000344,BG-富得快 fd1000a 纸质分页纸 10色10级,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
109,综合物资,55000343,BG-得力 9868 快干印台 1个 红色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
110,综合物资,55000342,BG-司泰博 平板车 黑色可折叠90*60cm 承载300KG,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
111,综合物资,55000341,BG-得力 2011 大号美工刀片(10片/盒),,办公用品,盒,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
112,综合物资,55000340,BG-得力 2001 大号美工刀 18mm 黄色,,办公用品,把,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
113,综合物资,55000338,BG-西玛 3015 优选费用报销单 210*110 50页/本 10本/包,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
114,综合物资,55000333,BG-浩立信 9211 深汕牌 费用报销单 24*12cm 白色,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
115,综合物资,55000331,BG-得力 78987 金属网状文件框带笔筒 三联 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
116,综合物资,55000328,BG-得力 9175 组合办公盒笔筒 196*98*99mm 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
117,综合物资,55000327,BG-晨光 ADM94754 金属文件盘 三层,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
118,综合物资,55000326,BG-得力 9847 三联文件框 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
119,综合物资,55000325,BG-得力 5654 拉链袋 A4 随机色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
120,综合物资,55000322,BG-得力 9081 记事贴 76*51mm 100张/包 混色,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
121,综合物资,55000319,BG-史泰博 381一联一等分无压线 电脑打印纸 1000页/箱 白色,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
122,综合物资,55000318,BG-史泰博 381一联二等分无压线 电脑打印纸 1000页/箱 白色,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
123,综合物资,55000317,BG-清风 BR38A6/BR38A61 原木纯品双层150抽面巾纸 10包,,办公用品,组,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
124,综合物资,55000316,BG-史泰博 彩色压线 电脑打印纸 二联一等分 1000页/盒,,办公用品,盒,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
125,综合物资,55000315,BG-海氏海诺 免水 洗手消毒凝胶 500ml,,办公用品,瓶,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
126,综合物资,55000314,BG-维德 一次性医用外科口罩 灭菌型 白色 10只/袋,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
127,综合物资,55000313,BG-得力 837ES 计算器 12位,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
128,综合物资,55000312,BG-得力 0021 工字钉 23mm 彩色 35个/盒,,办公用品,盒,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
129,综合物资,55000311,"BG-史泰博 有孔 白板纸 56*90cm,80G 白色 50张/卷",,办公用品,卷,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
130,综合物资,55000310,BG-海亚森 TK-2014 扫把簸箕套装组合,,办公用品,套,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
131,综合物资,55000309,BG-敏胤 SD-2322 免手洗干湿平板拖单盒独立装,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
132,综合物资,55000308,BG-海亚森 TK-1003 超细纤维抹布加厚加大型,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
133,综合物资,55000307,BG-绿联 50737 USB-C转RJ45网口转换器网线转接头,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
134,综合物资,55000306,BG-惠普 CF513A 硒鼓 204A 品红色 900页,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
135,综合物资,55000305,BG-惠普 CF512A 硒鼓 204A 黄色 900页,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
136,综合物资,55000304,BG-惠普 CF511A 硒鼓 204A 青色 900页,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
137,综合物资,55000303,BG-得力 30064 文具胶带 18MM*20Y 透明色,,办公用品,卷,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
138,综合物资,55000302,BG-齐心 B2060 文件盘 三层 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
139,综合物资,55000301,BG-钊盛 ZS-813 三档文件栏 三格 黑色,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
140,综合物资,55000300,BG-英雄 883 小双头记号笔 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
141,综合物资,55000299,BG-得力 72495 资料册 A4 60页,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
142,综合物资,55000298,BG-科思特 K 2108b（CT350999）（鼓粉一体） 6000页 黑色,,办公用品,只,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
143,综合物资,55000297,BG-史泰博 70G 常规装复印纸 A3 白色 2500张,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
144,综合物资,55000296,BG-史泰博 80G 超值装复印纸 A4 白色 2500张,,办公用品,箱,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
145,综合物资,55000295,BG-得印文具 18位钥匙盘+20个标记牌7423,,办公用品,个,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
146,综合物资,55000294,BG-安居先森1.4丝30*45cm背心款手提塑料袋透明100只/包,,办公用品,包,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:06:55
