序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
49,,10001193,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026,,成品,,,,,,0,已启用,1.000,,,否,否
50,,10001191,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,,成品,,,,,,0,已启用,0.250,,,否,否
51,,10001187,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,,成品,,,,,,0,已启用,1.000,,,否,否
52,,10001186,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,,成品,,,,,,0,已启用,1.000,,,否,否
53,,10001185,红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期,,成品,,,,,,0,已启用,1.000,,,否,否
54,,10001184,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,,成品,,,,,,0,已启用,1.000,,,否,否
55,,81000253,国产/芙丝水330ML/24瓶装/YOMA,,成品,,,,,,0,已启用,1.000,,,否,否
56,,81000221,国产/芙丝水500ML/24瓶装/纯享装,,成品,,,,,,0,已启用,1.000,,,否,否
57,,11000359,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,,成品,,,,,,0,已启用,1.000,,,否,否
58,,11000358,战马/330ML/24/罐装/含气/春日白桃味/广东促销,,成品,,,,,,0,已启用,1.000,,,否,否
59,,11000357,战马/330ML/24/罐装/含气/夏日浆果味/广东促销,,成品,,,,,,0,已启用,1.000,,,否,否
60,,11000353,战马/330ML/24/罐装/含气/夏日柠檬味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
61,,11000352,战马/330ML/24/罐装/含气/春日白桃味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
62,,11000351,战马/330ML/24/罐装/含气/夏日浆果味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
63,,11000350,战马/330ML/24/罐装/含气/菠萝西柚味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
64,,11000349,战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
65,,11000348,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,,成品,,,,,,0,已启用,1.000,,,否,否
66,,11000298,战马/180ML/24/罐装/夏黑葡萄味,,成品,,,,,,0,已启用,1.000,,,否,否
67,,11000334,战马/310ML/24/罐装/2025/广东扫码红包-新包装,,成品,,,,,,0,已启用,1.000,,,否,否
68,,11000322,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,,成品,,,,,,0,已启用,1.000,,,否,否
69,,11000321,战马/310ML/24/罐装/新包装,,成品,,,,,,0,已启用,1.000,,,否,否
70,,10001165,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,,成品,,,,,,0,已启用,1.000,,,否,否
71,,10001164,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,,成品,,,,,,0,已启用,1.000,,,否,否
72,,10001163,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
73,,11000312,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装,,成品,,,,,,0,已启用,1.000,,,否,否
74,,11000283,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,,成品,,,,,,0,已启用,1.000,,,否,否
75,,11000282,战马/400ML/15/不含气/2025/1元乐享/二段,,成品,,,,,,0,已启用,1.000,,,否,否
76,,11000281,战马/400ML/15/不含气/2025/1元乐享（线上核销版）,,成品,,,,,,0,已启用,1.000,,,否,否
77,,11000280,战马/400ML/15/不含气/2025/1元乐享,,成品,,,,,,0,已启用,1.000,,,否,否
78,,11000304,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
79,,11000303,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
80,,11000302,战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
81,,11000301,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
82,,11000300,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
83,,11000273,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
84,,11000272,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
85,,11000270,战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
86,,11000268,战马/310ML/24/罐装/2025/1元乐享（无箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
87,,11000267,战马/310ML/24/罐装/2025/1元乐享（含箱码）,,成品,,,,,,0,已启用,1.000,,,否,否
88,,10001155,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期,,成品,,,,,,0,已启用,1.000,,,否,否
89,,10001153,红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025,,成品,,,,,,0,已启用,1.000,,,否,否
90,,10001126,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025,,成品,,,,,,0,已启用,1.000,,,否,否
91,,10001125,红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025,,成品,,,,,,0,已启用,1.000,,,否,否
92,,10001124,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025,,成品,,,,,,0,已启用,1.000,,,否,否
93,,10001104,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025,,成品,,,,,,0,已启用,1.000,,,否,否
94,,10001119,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期,,成品,,,,,,0,已启用,1.000,,,否,否
95,,10001118,红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期,,成品,,,,,,0,已启用,1.000,,,否,否
96,,10001117,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,,成品,,,,,,0,已启用,1.000,,,否,否
97,,10001116,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,,成品,,,,,,0,已启用,0.250,,,否,否
98,,10001105,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025,,成品,,,,,,0,已启用,1.000,,,否,否
99,,10001132,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025,,成品,,,,,,0,已启用,1.000,,,否,否
100,,10001134,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,,成品,,,,,,0,已启用,1.000,,,否,否
101,,10001129,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,,成品,,,,,,0,已启用,1.000,,,否,否
