检验类别,品牌/类型,检验项目,英文名称,标准值,单位,类型说明,下限值,上限值,误差限,排序
顶盖/底盖检验,战马-罐装,干膜重量,Dry film Weight,区间:25~40,mg,区间,0,0,0,
顶盖/底盖检验,战马-罐装,启破力,Force of turn on,区间:8~15,N,区间,,,,,
顶盖/底盖检验,战马-罐装,全开力,Force of Full Open,区间:8~15,N,区间,,,,,
顶盖/底盖检验,战马-罐装,羽化检测,,合格,-,合格判定,0,0,0,
热缩膜检验,红牛-普通版,热缩膜厚度,,区间:0.06~0.07,mm,区间,0,0,0,
热缩膜检验,红牛-普通版,热缩膜宽度,,450±5,mm,带误差限,,,,,
热缩膜检验,红牛-普通版,热缩膜筒内径,,区间:74~80,mm,区间,0,0,2,
热缩膜检验,红牛-普通版,热缩膜净重,,标识净重±0.5,kg,带误差限,,,,,
热缩膜检验,红牛-普通版,热缩膜外观质量,,合格,-,合格判定,0,0,0,
热缩膜检验,红牛-强化版,热缩膜厚度,,-,mm,区间,0,0,0,
热缩膜检验,红牛-强化版,热缩膜宽度,,-,mm,区间,,,,,
热缩膜检验,红牛-强化版,热缩膜筒内径,,-,mm,区间,0,0,2,
热缩膜检验,红牛-强化版,热缩膜净重,,-,kg,带误差限,,,,,
热缩膜检验,红牛-强化版,热缩膜外观质量,,合格,-,合格判定,0,0,0,
热缩膜检验,红牛-彩膜,热缩膜厚度,,-,mm,区间,0,0,0,
热缩膜检验,红牛-彩膜,热缩膜宽度,,-,mm,区间,,,,,
热缩膜检验,红牛-彩膜,热缩膜筒内径,,-,mm,区间,0,0,2,
热缩膜检验,红牛-彩膜,热缩膜净重,,-,kg,带误差限,,,,,
热缩膜检验,红牛-彩膜,热缩膜外观质量,,合格,-,合格判定,0,0,0,
热缩膜检验,战马,热缩膜厚度,,-,mm,区间,0,0,0,
热缩膜检验,战马,热缩膜宽度,,-,mm,区间,,,,,
热缩膜检验,战马,热缩膜筒内径,,-,mm,区间,0,0,2,
热缩膜检验,战马,热缩膜净重,,-,kg,带误差限,,,,,
热缩膜检验,战马,热缩膜外观质量,,合格,-,合格判定,0,0,0,
纸皮进货检验,红牛,尺寸①,,45±1,mm,带误差限,45,0,1,0
纸皮进货检验,红牛,尺寸②,,94±1,mm,带误差限,94,0,1,0
纸皮进货检验,红牛,尺寸③,,267±1,mm,带误差限,267,0,1,0
纸皮进货检验,红牛,尺寸④,,94±1,mm,带误差限,94,0,1,0
纸皮进货检验,红牛,尺寸⑤,,267±1,mm,带误差限,267,0,1,0
纸皮进货检验,红牛,尺寸⑥,,40±1,mm,带误差限,40,0,1,0
纸皮进货检验,红牛,尺寸⑦,,402±1,mm,带误差限,402,0,1,0
纸皮进货检验,红牛,尺寸⑧,,488±1,mm,带误差限,488,0,1,0
