物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
原材料,20002326,,纸皮/普通型/250ML/24/31周年普通箱内码/2026,2000张/托,包材,张,,ROH原材料,730,30,0,已启用,,,,否,否
成品,10001203,,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,150箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001199,,红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026,150箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
原材料,20002333,,纸箱/战马/罐装/UTMBx联名,1200张/托,包材,张,,ROH原材料,730,30,0,已启用,,,,否,否
原材料,20002331,,空罐/战马/310ML/UTMBx联名/无顶盖,7590个/托,包材,个,,ROH原材料,730,30,0,已启用,,,,否,否
成品,11000379,,战马/310ML/24/罐装/UTMBx联名装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000356,,战马/330ML/24/罐装/含气/菠萝西柚味/广东促销,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
综合物资,5100000357,,长柄塑料刷子30CM,,劳保用品,个,,,,,0,已启用,,,,否,否
原材料,20002267,,纸箱/战马/罐装/线上1元乐享2026-新包装-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002266,,纸箱/战马/罐装/扫码红包2026-新包装-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002264,,顶盖/战马/线上1元乐享2026-新包装,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002263,,顶盖/战马/扫码红包2026-新包装,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002261,,空罐/战马/310ML/线上1元乐享2026-新包装/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002260,,空罐/战马/310ML/扫码红包2026-新包装/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
成品,11000371,,战马/310ML/24/罐装/2026/线上1元乐享-新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000370,,战马/310ML/24/罐装/2026/扫码红包-新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001191,,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,150箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001188,,红牛维生素功能饮料/普通型/250ML/24/31周年纪念装,150箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001187,,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,150箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001186,,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,150箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001184,,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,100箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,1.0,否,否
原材料,20002276,,顶盖/206/2026广东1元乐享促销,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002275,,顶盖/206/2026广东红包促销,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002274,,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,8740/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002273,,空罐/普通型/250ML/2026广东红包促销/无顶盖,8740/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002272,,空罐/强化型/250ml/蓝色/31周年版/无底盖,7475/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002271,,空罐/普通型/250ML/31周年版/无顶盖,8740/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002283,,热缩膜/六罐装/31周年版,50KG/卷,包材,KG,,原材料,730,30,0,已启用,,,,否,否
原材料,20002282,,纸皮/普通型/250ML/24/广东1元乐享促销/2026,2000张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002281,,纸皮/普通型/250ML/24/广东红包促销/2026,2000张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002279,,纸皮/强化型/250ml/蓝色/31周年版,2000张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002278,,纸皮/普通型/250ML/31周年版/六罐装/包装,2000张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002277,,纸皮/普通型/250ML/24/31周年版,2000张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
成品,11000359,,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000358,,战马/330ML/24/罐装/含气/春日白桃味/广东促销,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,80000015,,进口芙丝天然泉水/24/500ml/Still,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,80000014,,进口芙丝天然泉水/24/330ml/Still,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,11000282,,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000280,,战马/400ML/15/不含气/2025/1元乐享,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,81000240,,国产/神农明珠天然泉水/500ml/24瓶/无外箱,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,81000224,,国产/神农明珠天然泉水/500ML/24瓶,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,81000102,,国产/芙丝气泡水330ML/12瓶装/青柠生姜,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,80000012,,进口芙丝天然泉水/24/375ml/Still,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,80000013,,进口芙丝天然泉水/12/800ml/Still,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,80000011,,进口芙丝苏打水/12/800ml/Sparkling,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,80000010,,进口芙丝苏打水/24/375ml/Sparkling,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,11000353,,战马/300ML/24/罐装/夏日柠檬味/常规装,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000352,,战马/300ML/24/罐装/春日白桃味/常规装,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000351,,战马/300ML/24/罐装/夏日浆果味/常规装,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000350,,战马/300ML/24/罐装/菠萝西柚味/常规装,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000349,,战马/300ML/24/罐装/蓝莓黑加仑味/常规装,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000348,,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,,成品,箱,,FERTE成品,,,0,已启用,,,,否,否
综合物资,5000000642,,关门语音提醒器,语音款“请随手关门”,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000641,,遥控开关,一拖一,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000640,,物料号标识牌,PVC/33*7cm,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000639,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000638,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000637,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000636,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000635,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000634,,备件库标识牌,铁牌带挂链,办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000633,,地板安全标识警示带,黄色5cm宽,办公,卷,,,,,0,已启用,,,,否,否
综合物资,5000000632,,地板安全标识警示带,黄黑色5cm宽,办公,卷,,,,,0,已启用,,,,否,否
综合物资,5000000631,,地板安全标识警示带,黄色2.5cm宽,办公,卷,,,,,0,已启用,,,,否,否
综合物资,5000000630,,分格收纳盒,"20位格盘  
外尺寸约：21*17*4cm
   内格尺寸约：8*1.8*3.5cm",办公,个,,,,,0,已启用,,,,否,否
综合物资,5000000629,,分格收纳筐,"6040-24格框  
外径：长600*宽400*高70mm
内径：长565*宽365*高55mm
格子：长91*宽88*高31mm",办公,个,,,,,0,已启用,,,,否,否
综合物资,5100000381,,白色胶桶带盖食品级,18升,劳保用品,个,,,,,0,已启用,,,,否,否
综合物资,5100000380,,移动空调管,外径125mm，压缩后42厘米，拉伸后65厘米，含125管弯头+底座,劳保用品,条,,,,,0,已启用,,,,否,否
综合物资,5100000379,,大号漏斗,直径17cm,劳保用品,个,,,,,0,已启用,,,,否,否
综合物资,5100000378,,花洒壶,4升长嘴,劳保用品,个,,,,,0,已启用,,,,否,否
综合物资,5100000377,,塑料吸水管,长29cm,劳保用品,个,,,,,0,已启用,,,,否,否
综合物资,5100000376,,感应式垃圾桶,18L 单模式电池款 优雅绿 长：26cm，宽：18.5cm，高：33.5cm,劳保用品,个,,,,,0,已启用,,,,否,否
综合物资,5400000415,,耐高温100陶瓷氧化铝坩埚,50mm*50mm*25mm，35mL容量,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000414,,硫酸铜比色液,浓度：62.4mg/L，100mL,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000413,,三氯化铁比色液,浓度：45.0mg/L，100mL,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000412,,氯化钴比色液,浓度：59.5mg/L，100mL,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000411,,陶瓷研钵,60mm玻璃研钵，碗+棒,化验耗材,瓶,玺玻,,,,0,已启用,,,,否,否
综合物资,5400000410,,茶碱标准品,HPLC≥98%，20mg,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000409,,四氢呋喃,500mL/瓶，色谱纯,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000408,,碘溶液,0.1moL/L，100mL,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000407,,氯酸钾,500g/瓶，分析纯,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000406,,氨基酸分析仪进样针座密封垫,货号：890-3183,化验耗材,个,天美日立,,,,0,已启用,,,,否,否
综合物资,5400000405,,碱式滴定管滴定头,,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000404,,L-8900 PH-RG缓冲液,2L/套,化验耗材,套,,,,,0,已启用,,,,否,否
综合物资,5400000403,,液相色谱柱,货号：A3000150*039,化验耗材,个,安捷伦,,,,0,已启用,,,,否,否
综合物资,5400000402,,Smart X3 STD加密锁,,化验耗材,个,肇庆嘉仪,,,,0,已启用,,,,否,否
综合物资,5400000401,,台式PH计电源适配器,PSAC12R-120,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000400,,温度传感器,水滴头KSTC，10米长，-20-150℃,化验耗材,根,,,,,0,已启用,,,,否,否
综合物资,5400000399,,氨氮检测试剂（纳氏试剂）,100ml/瓶,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000398,,PC支撑网板,直径150mm,化验耗材,个,海宁中力,,,,0,已启用,,,,否,否
综合物资,5400000397,,溴酚蓝,分析纯，25g/瓶,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000396,,PCA培养基,500g/瓶,化验耗材,瓶,,,,,0,已启用,,,,否,否
综合物资,5400000395,,硅胶管,4.8×8mm,化验耗材,米,,,,,0,已启用,,,,否,否
综合物资,5400000394,,BPT蠕动泵管,4.8×8mm,化验耗材,米,,,,,0,已启用,,,,否,否
综合物资,5400000393,,磁性转子,C型6×15mm,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000392,,不锈钢称量勺子,19.5×3cm,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000391,,QCSTD-27多元素标准品,"100mL,100mg/L，
货号：5190-9418",化验耗材,瓶,,,,,0,已启用,,,,否,否
