物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
综合物资,5100000056,,纱线涂胶手套,,劳保用品,双,,其他,,,0,已启用,,,3.5,否,否
综合物资,5100000055,,纱线手套,,劳保用品,双,旭祥,其他,,,0,已启用,,,1.3,否,否
综合物资,5100000054,,袖套/软,,劳保用品,只,,其他,,,0,已启用,,,5.0,否,否
综合物资,5100000053,,一次性餐用手套/100只/盒,,劳保用品,盒,仙宝,其他,,,0,已启用,,,8.0,否,否
综合物资,5100000051,,滚筒扫加长杆/一米,,劳保用品,条,椰树,其他,,,0,已启用,,,27.0,否,否
综合物资,5100000050,,滚筒扫/6寸,,劳保用品,个,椰树,其他,,,0,已启用,,,27.0,否,否
综合物资,5100000049,,滚筒刷/4寸,,劳保用品,个,椰树,其他,,,0,已启用,,,13.0,否,否
综合物资,5100000048,,油漆刷子/5寸,,劳保用品,把,,其他,,,0,已启用,,,13.0,否,否
综合物资,5100000047,,油漆刷子/4寸,,劳保用品,把,,其他,,,0,已启用,,,13.0,否,否
综合物资,5100000046,,油漆刷子/3寸,,劳保用品,把,,其他,,,0,已启用,,,13.0,否,否
综合物资,5100000045,,油漆刷子/2寸,,劳保用品,把,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000044,,油漆刷子/1寸,,劳保用品,把,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000043,,划线漆/黄色15kg,,劳保用品,桶,卡特夫,其他,,,0,已启用,,,398.0,否,否
综合物资,5100000042,,划线漆/水性10kg红色反光,,劳保用品,桶,珠江,其他,,,0,已启用,,,405.0,否,否
综合物资,5100000041,,划线漆/水性10kg绿色反光,,劳保用品,桶,珠江,其他,,,0,已启用,,,405.0,否,否
综合物资,5100000040,,划线漆/水性10kg黑色反光,,劳保用品,桶,珠江,其他,,,0,已启用,,,405.0,否,否
综合物资,5100000039,,划线漆/水性10kg黄色反光,,劳保用品,桶,珠江,其他,,,0,已启用,,,405.0,否,否
综合物资,5100000038,,黄色路面漆/水性10kg,,劳保用品,桶,珠江,其他,,,0,已启用,,,405.0,否,否
综合物资,5100000037,,荧光漆/反光黑3kg,,劳保用品,桶,,其他,,,0,已启用,,,195.0,否,否
综合物资,5100000036,,荧光漆/反光黄3kg,,劳保用品,桶,,其他,,,0,已启用,,,195.0,否,否
综合物资,5100000035,,划线漆/红色3kg,,劳保用品,桶,卡特夫,其他,,,0,已启用,,,89.0,否,否
综合物资,5100000034,,划线漆/天蓝色3kg,,劳保用品,桶,卡特夫,其他,,,0,已启用,,,89.0,否,否
综合物资,5100000033,,划线漆/绿色3kg,,劳保用品,桶,卡特夫,其他,,,0,已启用,,,89.0,否,否
综合物资,5100000032,,划线漆/黄色3KG,,劳保用品,桶,,其他,,,0,已启用,,,85.0,否,否
综合物资,5100000031,,划线漆/1KG,,劳保用品,罐,,其他,,,0,已启用,,,45.0,否,否
综合物资,5100000027,,金属漆防锈漆/0.8kg/桶,,劳保用品,桶,三棵树,其他,,,0,已启用,,,45.0,否,否
综合物资,5100000026,,白色喷漆/0.8kg,,劳保用品,支,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000025,,绿色喷漆/0.8kg,,劳保用品,支,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000024,,黄色喷漆/0.8kg,,劳保用品,支,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000023,,红色喷漆/0.8kg,,劳保用品,支,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000022,,隔离面罩,,劳保用品,副,,其他,,,0,已启用,,,12.0,否,否
综合物资,5100000021,,一次性雨衣,,劳保用品,件,,其他,,,0,已启用,,,10.0,否,否
综合物资,5100000020,,84消毒液/20kg,,劳保用品,桶,,其他,,,0,已启用,,,185.0,否,否
综合物资,5100000019,,防锈润滑剂/450ML,,劳保用品,支,得力,其他,,,0,已启用,,,18.0,否,否
综合物资,5100000018,,齿轮油/美孚路宝GX/80W-90/4升,,劳保用品,罐,美孚路宝,其他,,,0,已启用,,,130.0,否,否
综合物资,5100000017,,液压油/L-HM68抗磨液压油(高压) 13kg/桶,,劳保用品,桶,昆仑天工,其他,,,0,已启用,,,240.0,否,否
综合物资,5100000016,,水箱宝/绿色0℃ /2KG,,劳保用品,瓶,標榜,其他,,,0,已启用,,,33.0,否,否
综合物资,5100000015,,麦肯锡机油/15W-40/4升,,劳保用品,罐,麦肯锡,其他,,,0,已启用,,,110.0,否,否
综合物资,5100000014,,高温黄油润滑油脂/400g,,劳保用品,支,凯德士,其他,,,0,已启用,,,10.0,否,否
综合物资,5100000013,,白锂润滑脂/WD-40润滑油360ml,,劳保用品,支,武迪,其他,,,0,已启用,,,65.0,否,否
综合物资,5100000012,,磨砂工业油污洗手液/尔哈（EH）EH-70,,劳保用品,瓶,尔哈,其他,,,0,已启用,,,38.0,否,否
综合物资,5100000011,,工业重油污清洗剂/南华千牧     5.3斤/瓶,,劳保用品,瓶,南华千牧,其他,,,0,已启用,,,65.0,否,否
综合物资,5100000010,,水泥清洗剂/500ml,,劳保用品,瓶,盾王,其他,,,0,已启用,,,48.0,否,否
综合物资,5100000009,,鱼线/500米/卷,,劳保用品,卷,,其他,,,0,已启用,,,14.0,否,否
综合物资,5100000008,,手推车橡胶轮/4寸,,劳保用品,个,,其他,,,0,已启用,,,54.0,否,否
综合物资,5100000007,,手推车橡胶轮/3寸,,劳保用品,个,,其他,,,0,已启用,,,54.0,否,否
综合物资,5100000006,,物流箱/600*400*320mm,,劳保用品,个,,其他,,,0,已启用,,,125.0,否,否
综合物资,5100000005,,插排插座收纳盒/30*13*16cm,,劳保用品,个,,其他,,,0,已启用,,,32.0,否,否
综合物资,5100000004,,储物盒/253*176*135mm,,劳保用品,个,华隆,其他,,,0,已启用,,,10.0,否,否
综合物资,5100000003,,马斯特517MCND可调节锁,,劳保用品,把,,其他,,,0,已启用,,,67.0,否,否
综合物资,5100000002,,护腰带/L码,,劳保用品,个,,其他,,,0,已启用,,,270.0,否,否
综合物资,5100000001,,透明收纳箱/中号 33*23*19cm,,劳保用品,个,,其他,,,0,已启用,,,35.0,否,否
综合物资,5400000176,,尿素,,辅料,KG,,其他,,,0,已启用,,,6.5,否,否
综合物资,5400000175,,磷酸二氢钾/25kg,,辅料,包,,其他,,,0,已启用,,,300.0,否,否
综合物资,5400000385,,接液牛角弯管/24#，24/29,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000384,,"高硼硅流动相溶剂瓶/3L,棕色，带盖2接头",,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000383,,样品瓶/货号：5182-0714,,化验耗材,盒,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000382,,钨灯,,化验耗材,个,日立,其他,,,0,已启用,,,,否,否
综合物资,5400000381,,精密石英比色皿/石英吸收池厚度1cm,,化验耗材,对,,其他,,,0,已启用,,,,否,否
综合物资,5400000380,,食品温度计/304不锈钢 260*25mm,,化验耗材,个,,其他,,,0,已启用,,,68.0,否,否
综合物资,5400000379,,玻璃量筒/10mL,,化验耗材,个,,其他,,,0,已启用,,,4.0,否,否
综合物资,5400000378,,高性能测试杯,,化验耗材,个,北京悠然,其他,,,0,已启用,,,,否,否
综合物资,5400000377,,电动自吸抽水器/抽水器USB壳装+PVC管1米  普通过滤器,,化验耗材,个,,其他,,,0,已启用,,,35.0,否,否
综合物资,5400000376,,氢气发生器用电解池,,化验耗材,个,北京悠然,其他,,,0,已启用,,,,否,否
综合物资,5400000375,,长光程支架/UV2900,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000374,,石英比色皿/石英吸收池厚度2cm,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000373,,六次甲基四胺/100g/L,,化验耗材,瓶,,其他,,,0,已启用,,,580.0,否,否
综合物资,5400000372,,三乙胺/色谱纯,,化验耗材,瓶,,其他,,,0,已启用,,,350.0,否,否
综合物资,5400000371,,辛烷磺酸钠/色谱纯,,化验耗材,瓶,,其他,,,0,已启用,,,870.0,否,否
综合物资,5400000370,,庚烷磺酸钠/色谱纯,,化验耗材,瓶,,其他,,,0,已启用,,,850.0,否,否
综合物资,5400000369,,玻璃棒/长30cm直径6mm,,化验耗材,支,,其他,,,0,已启用,,,3.0,否,否
综合物资,5400000368,,纳氏比色管/50mL,,化验耗材,支,,其他,,,0,已启用,,,15.0,否,否
综合物资,5400000367,,称量瓶/带盖扁形40*25,,化验耗材,个,,其他,,,0,已启用,,,14.0,否,否
综合物资,5400000366,,称量瓶/带盖高型20*20,,化验耗材,个,,其他,,,0,已启用,,,12.0,否,否
综合物资,5400000365,,坩埚钳/40cm/16寸（方形）,,化验耗材,个,,其他,,,0,已启用,,,30.0,否,否
综合物资,5400000364,,试管架/双排6孔，配套50毫升比色管,,化验耗材,个,,其他,,,0,已启用,,,50.0,否,否
综合物资,5400000363,,试管架/双排6孔，配套25毫升比色管,,化验耗材,个,,其他,,,0,已启用,,,50.0,否,否
综合物资,5400000362,,高锰酸钾试液/C=0.1mol/L,,化验耗材,瓶,,其他,,,0,已启用,,,150.0,否,否
综合物资,5400000361,,"硝酸银试液/C=0.1mol/L,100ml/瓶",,化验耗材,瓶,,其他,,,0,已启用,,,380.0,否,否
综合物资,5400000360,,二氯化汞饱和溶液/分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,260.0,否,否
综合物资,5400000359,,氨水溶液/C（NH3.H2O）=5mol/L，500ml/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,220.0,否,否
综合物资,5400000358,,盐酸溶液/C（HCL）=2mol/L，500ml/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,120.0,否,否
综合物资,5400000357,,标准氯化钠溶液/C（NaCL)=10ug/mL,,化验耗材,瓶,,其他,,,0,已启用,,,230.0,否,否
综合物资,5400000356,,硫代乙酰胺试液/500ml/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,780.0,否,否
综合物资,5400000355,,"标准氯化铵溶液/C（NH4）=10ug/mL,500mL/瓶",,化验耗材,瓶,,其他,,,0,已启用,,,100.0,否,否
综合物资,5400000354,,氢氧化钾/500g/瓶，分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,20.0,否,否
综合物资,5400000353,,碘化钾/500g/瓶，分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,480.0,否,否
综合物资,5400000352,,氧化镁/500g/瓶，分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,55.0,否,否
综合物资,5400000351,,"标准硫酸钾溶液/C（SO4）=100ug/mL,500mL/瓶",,化验耗材,瓶,,其他,,,0,已启用,,,200.0,否,否
综合物资,5400000350,,氯化钡溶液/C=250g/L，500mL/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,210.0,否,否
综合物资,5400000349,,硫酸肼/100g/瓶，分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,25.0,否,否
综合物资,5400000348,,乌洛托品溶液/C=100g/L,,化验耗材,瓶,,其他,,,0,已启用,,,330.0,否,否
综合物资,5400000347,,酚酞指示剂/C=10g/L乙醇溶液,,化验耗材,瓶,,其他,,,0,已启用,,,120.0,否,否
综合物资,5400000346,,酚酞指示剂/C=5g/L乙醇溶液,,化验耗材,瓶,,其他,,,0,已启用,,,120.0,否,否
综合物资,5400000345,,氢氧化钠标准溶液/c(NaOH)=1mol/L，500ml/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,90.0,否,否
综合物资,5400000344,,氢氧化钠标准滴定溶液/c(NaOH)=0.1mol/L，500ml/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,90.0,否,否
综合物资,5400000343,,甲醛/500ml/瓶，分析纯以上,,化验耗材,瓶,,其他,,,0,已启用,,,15.0,否,否
综合物资,5400000342,,电源线/MS12001L,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000341,,电源适配器/PSAC12R-120,,化验耗材,个,,其他,,,0,已启用,,,230.0,否,否
综合物资,5400000340,,罐底耐压强度测定仪的接头/CEBT.015,,化验耗材,个,嘉仪,其他,,,0,已启用,,,,否,否
综合物资,5400000339,,全不锈钢微压表/CVG.036   -40-40KPa,,化验耗材,个,嘉仪,其他,,,0,已启用,,,,否,否
综合物资,5400000338,,电热炉/1500W,,化验耗材,个,,其他,,,0,已启用,,,260.0,否,否
综合物资,5400000337,,塑料烧杯/4000mL,,化验耗材,个,,其他,,,0,已启用,,,28.0,否,否
综合物资,5400000336,,10mL移液枪头盒/10mL通用24孔,,化验耗材,个,,其他,,,0,已启用,,,28.0,否,否
综合物资,5400000335,,5000uL移液枪头盒/5mL28孔，孔径13mm,,化验耗材,个,,其他,,,0,已启用,,,30.0,否,否
综合物资,5400000334,,液相进样针座/货号：G1329-87017,,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000333,,PH电极/Inlab Exp Pro-ISM,,化验耗材,个,梅特勒,其他,,,0,已启用,,,,否,否
综合物资,5400000332,,50mL具塞刻度管/50mL带刻度,,化验耗材,个,,其他,,,0,已启用,,,16.3,否,否
综合物资,5400000331,,"液相色谱硅胶柱/C18硅烷键合硅胶色谱柱，货号：A2006150X046 Polaris 180AAmide-C18,4.6x150 mm/,5um.",,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000330,,样品瓶盖（含垫）/货号：UR-5820-9mm-500,,化验耗材,包,URAN,其他,,,0,已启用,,,,否,否
综合物资,5400000329,,旋盖无菌水样袋/500ml 100pcs/箱 HH-SY500,,化验耗材,箱,环凯生物,其他,,,0,已启用,,,,否,否
综合物资,5400000328,,EMS同步带GT2.5-245MM,,化验耗材,条,广东嘉仪,其他,,,0,已启用,,,,否,否
综合物资,5400000327,,玻璃量筒/150mL(分度值1mL)，直径32mm,,化验耗材,个,POMEX,其他,,,0,已启用,,,12.0,否,否
综合物资,5400000326,,AFS-9700双道原子荧光光度计进样针,,化验耗材,支,北京海光仪器有限公司,其他,,,0,已启用,,,,否,否
综合物资,5400000325,,食用合成色素诱惑红/1.00mg/mL 5mL/瓶,,化验耗材,瓶,北京海岸鸿蒙标准物质技术有限责任公司,其他,,,0,已启用,,,,否,否
综合物资,5400000324,,L-8900 PH-2缓冲液/1L/瓶,,化验耗材,瓶,天美日立,其他,,,0,已启用,,,,否,否
综合物资,5400000323,,"液相色谱硅胶柱/货号：A2006150X046 Polaris 180AAmide-C18,4.6x150 mm/,5um.",,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000322,,Scotch透明胶带/48mm*36.6mm,,化验耗材,卷,3M,其他,,,0,已启用,,,18.0,否,否
综合物资,5400000321,,离子交换袋/氢气发生器用，货号：CP220308026,,化验耗材,个,北京中惠普分析技术研究所,其他,,,0,已启用,,,,否,否
综合物资,5400000320,,液相主动阀芯/货号：5062-8562,,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000319,,气相进样针/货号：G4513-80204,,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000318,,液相样品瓶盖/货号：5185-5820,,化验耗材,包,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000317,,"SPE萃取柱/WAX 150mg/6ml  30/pkg
货号：1153-0150",,化验耗材,盒,日照科普诺新材料有限公司,其他,,,0,已启用,,,,否,否
综合物资,5400000315,,塑料烧杯/50ml,,化验耗材,个,,其他,,,0,已启用,,,9.0,否,否
综合物资,5400000314,,1号漏斗/内径8.8cm，下孔径1.1cm,,化验耗材,个,,其他,,,0,已启用,,,10.0,否,否
综合物资,5400000313,,LST/250g/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,,否,否
综合物资,5400000312,,TSA培养基/250g/瓶,,化验耗材,瓶,奥博星,其他,,,0,已启用,,,,否,否
综合物资,5400000311,,Mendo培养基/500g/瓶,,化验耗材,瓶,默克,其他,,,0,已启用,,,,否,否
综合物资,5400000310,,MEA培养基/500g/瓶,,化验耗材,瓶,默克,其他,,,0,已启用,,,,否,否
综合物资,5400000309,,"色谱柱/货号：880975-902
4.6*250mm",,化验耗材,个,安捷伦,其他,,,0,已启用,,,,否,否
综合物资,5400000308,,L-8900 PH-1缓冲液/1L/瓶,,化验耗材,瓶,天美日立,其他,,,0,已启用,,,,否,否
综合物资,5400000307,,倒挂PVC耐酸碱容量瓶架/50ml容量瓶30孔，尺寸不超过：长*宽*高=80cm*40cm*25cm,,化验耗材,个,,其他,,,0,已启用,,,330.0,否,否
综合物资,5400000306,,"5mL移液管/5mL,带刻度",,化验耗材,个,,其他,,,0,已启用,,,15.0,否,否
综合物资,5400000305,,试管架（12孔）/12孔，孔径22mm,,化验耗材,个,,其他,,,0,已启用,,,30.0,否,否
综合物资,5400000304,,长柄塑料取样勺/长度范围50-100CM,,化验耗材,个,,其他,,,0,已启用,,,17.6,否,否
综合物资,5400000303,,小口透明塑料瓶（带刻度）/100ml,,化验耗材,个,,其他,,,0,已启用,,,6.4,否,否
综合物资,5400000302,,航空插头2B.308 FGG插头（8-10mm）/代码：13.LPJ.160,,化验耗材,件,嘉仪,其他,,,0,已启用,,,,否,否
综合物资,5400000301,,螺旋电缆/代码：02.DER.476,,化验耗材,件,嘉仪,其他,,,0,已启用,,,,否,否
综合物资,5400000300,,VRBA培养基/250g/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,,否,否
综合物资,5400000299,,梅特勒7.00缓冲液/250ml/瓶,,化验耗材,瓶,梅特勒,其他,,,0,已启用,,,,否,否
综合物资,5400000298,,梅特勒4.01缓冲液/250ml/瓶,,化验耗材,瓶,梅特勒,其他,,,0,已启用,,,,否,否
综合物资,5400000297,,滤膜（黑色）/0.45um/100片/包,,化验耗材,包,赛多利斯,其他,,,0,已启用,,,,否,否
综合物资,5400000296,,滤膜（白色）/0.45um/100片/包,,化验耗材,包,赛多利斯,其他,,,0,已启用,,,,否,否
综合物资,5400000295,,浮游菌检测膜  10个/盒/10个/盒,,化验耗材,盒,赛多利斯,其他,,,0,已启用,,,,否,否
综合物资,5400000294,,氘灯/氘灯,,化验耗材,日立,,其他,,,0,已启用,,,,否,否
综合物资,5400000293,,灭菌锅验证试剂/30支/盒,,化验耗材,盒,新华牌,其他,,,0,已启用,,,,否,否
综合物资,5400000292,,3mol/L KCL溶液/250ml/瓶,,化验耗材,瓶,梅特勒,其他,,,0,已启用,,,,否,否
综合物资,5400000291,,一次性培养皿/90mm*15mm，EO灭菌，500pcs/箱,,化验耗材,箱,,其他,,,0,已启用,,,,否,否
综合物资,5400000290,,一次性培养皿/60mm，EO灭菌，加厚加高1000pcs/箱,,化验耗材,箱,,其他,,,0,已启用,,,,否,否
综合物资,5400000289,,L-8900 PH-4缓冲液/1L/瓶,,化验耗材,瓶,天美日立,其他,,,0,已启用,,,,否,否
综合物资,5400000288,,茚三酮缓冲液/2L/套,,化验耗材,套,天美日立,其他,,,0,已启用,,,,否,否
综合物资,5400000287,,氨基酸分析仪分离柱柱头/货号：855-5094,,化验耗材,个,天美日立,其他,,,0,已启用,,,,否,否
综合物资,5400000286,,萘甲醇标准溶液/安剖瓶 1毫升,,化验耗材,瓶,,其他,,,0,已启用,,,,否,否
综合物资,5400000285,,抗坏血酸/分析纯500g,,化验耗材,瓶,,其他,,,0,已启用,,,,否,否
综合物资,5400000284,,溶剂过滤器（胶塞GL45螺口型）/货号：B-028811,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000283,,软塑料盖/6-8cm加厚,,化验耗材,个,,其他,,,0,已启用,,,,否,否
综合物资,5400000282,,原子荧光光度计注射器/AFS-9700 2.5毫升长款注射器,,化验耗材,个,北京海光仪器有限公司,其他,,,0,已启用,,,,否,否
综合物资,5400000281,,棕色广口试剂瓶/250mL,,化验耗材,个,,其他,,,0,已启用,,,28.0,否,否
综合物资,5400000280,,棕色广口试剂瓶/100mL,,化验耗材,个,,其他,,,0,已启用,,,25.0,否,否
综合物资,5400000279,,紫外线强度指示卡/100片/盒,,化验耗材,盒,四环牌,其他,,,0,已启用,,,114.0,否,否
综合物资,5400000278,,流动相化学试剂瓶盖/4孔,,化验耗材,个,,其他,,,0,已启用,,,20.0,否,否
综合物资,5400000277,,流动相化学试剂瓶盖/2孔,,化验耗材,个,,其他,,,0,已启用,,,18.5,否,否
综合物资,5400000276,,流动相化学试剂瓶盖/1孔,,化验耗材,个,,其他,,,0,已启用,,,18.5,否,否
综合物资,5400000275,,维生素C标准品/100mg,,化验耗材,瓶,,其他,,,0,已启用,,,586.0,否,否
综合物资,5400000274,,称量瓶/低型/扁型60*30mm加厚款,,化验耗材,个,汇达,其他,,,0,已启用,,,23.5,否,否
综合物资,5400000273,,蒸发皿/60mm,,化验耗材,个,汇达,其他,,,0,已启用,,,12.0,否,否
综合物资,5400000272,,季铵盐,,化验耗材,KG,,其他,,,0,已启用,,,15.0,否,否
综合物资,5400000271,,甲酸/500mL/瓶，分析纯,,化验耗材,瓶,,其他,,,0,已启用,,,70.0,否,否
综合物资,5400000270,,COD检测试剂/3-150mg/L,,化验耗材,支,哈希,其他,,,0,已启用,,,28.5,否,否
综合物资,5400000269,,"25ml试管/高度152mm，内直径17.18mm,
外直径19.53mm,壁厚1.49mm
见图片",,化验耗材,个,,其他,,,0,已启用,,,23.0,否,否
综合物资,5400000268,,白凡士林实验室用/500g/瓶,,化验耗材,瓶,,其他,,,0,已启用,,,19.0,否,否
综合物资,5400000267,,套筒/204,,化验耗材,个,嘉仪,其他,,,0,已启用,,,480.0,否,否
综合物资,5400000266,,滴水架/48位,,化验耗材,个,科睿才,其他,,,0,已启用,,,330.0,否,否
综合物资,5400000265,,氮气氩气塑料管/8mm,,化验耗材,米,,其他,,,0,已启用,,,18.5,否,否
综合物资,5400000264,,滴管架/5-10ml(10mm*30孔）,,化验耗材,个,,其他,,,0,已启用,,,75.0,否,否
综合物资,5400000263,,滴管架/1-3ml(10mm*30孔）,,化验耗材,个,,其他,,,0,已启用,,,48.0,否,否
综合物资,5400000262,,高纯氩/40L,,化验耗材,瓶,德力,其他,,,0,已启用,,,178.46,否,否
综合物资,5400000261,,高纯氮/40L,,化验耗材,瓶,德力,其他,,,0,已启用,,,150.0,否,否
综合物资,5400000260,,纯氩/40L,,化验耗材,瓶,德力,其他,,,0,已启用,,,57.94,否,否
综合物资,5400000259,,高纯氩/10L/≥99.999%,,化验耗材,瓶,德力,其他,,,0,已启用,,,86.92,否,否
综合物资,5400000258,,高纯氮/10L/≥99.999%,,化验耗材,瓶,德力,其他,,,0,已启用,,,57.94,否,否
综合物资,5400000257,,切罐机弹簧/304 ，直径5mm,,化验耗材,条,,其他,,,0,已启用,,,10.0,否,否
综合物资,5400000256,,不锈钢支架活扣配件/不锈钢加硬,,化验耗材,个,,其他,,,0,已启用,,,3.0,否,否
综合物资,5400000255,,VB12检测用试剂盒,,化验耗材,盒,拜发,其他,,,0,已启用,,,3950.0,否,否
综合物资,5400000253,,磁性开关/PTT.061,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,200.0,否,否
综合物资,5400000252,,偏心套/CSS-1000-T202,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,650.0,否,否
综合物资,5400000251,,DER-4线路板控制/DER.039,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,2100.0,否,否
综合物资,5400000250,,STR切头铜套/-,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,500.0,否,否
综合物资,5400000249,,视频采集卡/货号：VSM.092,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,680.0,否,否
综合物资,5400000248,,连接线插头/PTT.200,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,300.0,否,否
综合物资,5400000247,,压力变送器/PTT.400,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,1750.0,否,否
综合物资,5400000246,,偏心套/01.CSS.119,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,650.0,否,否
综合物资,5400000245,,中心压头/STR-C202,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,450.0,否,否
综合物资,5400000244,,PTT.011称重传感器,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,1350.0,否,否
综合物资,5400000243,,空罐电流测定仪底座（209空罐）/DER-CH3,,化验耗材,套,肇庆嘉仪,其他,,,0,已启用,,,2500.0,否,否
综合物资,5400000241,,切罐机刀片,,化验耗材,片,肇庆嘉仪,其他,,,0,已启用,,,56.0,否,否
综合物资,5400000240,,卷边剥离机防护罩,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,180.0,否,否
综合物资,5400000239,,罐盖剥离器中心弹簧,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,50.0,否,否
综合物资,5400000238,,罐盖剥离器中心定位压头/206,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,450.0,否,否
综合物资,5400000237,,206盖内涂膜完整性检测仪转向阀,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,180.0,否,否
综合物资,5400000236,,顶盖/底盖皱纹度刀头,,化验耗材,个,肇庆嘉仪,其他,,,0,已启用,,,420.0,否,否
综合物资,5400000235,,切罐刀片,,化验耗材,片,肇庆嘉仪,其他,,,0,已启用,,,56.0,否,否
综合物资,30000771,,酒精95%/500ml,,化验耗材,瓶,,其他,,,0,已启用,,,18.0,否,否
综合物资,5400000233,,无水乙醇/500ml分析纯,,化验耗材,瓶,,其他,,,0,已启用,,,21.3,否,否
综合物资,5400000232,,乙腈/4L色谱纯,,化验耗材,瓶,,其他,,,0,已启用,,,680.0,否,否
综合物资,5400000231,,甲醇/4L色谱纯,,化验耗材,瓶,,其他,,,0,已启用,,,260.0,否,否
综合物资,30000583,,次氯酸钠,,化验耗材,KG,,其他,,,0,已启用,,,10.0,否,否
综合物资,30000100,,硫酸汞,,化验耗材,瓶,,其他,,,0,已启用,,,320.0,否,否
综合物资,30000089,,重铬酸钾/易制爆,,化验耗材,瓶,,其他,,,0,已启用,,,290.0,否,否
综合物资,30000630,,双氧水/27.5%/易制爆,,化验耗材,KG,,其他,,,0,已启用,,,11.0,否,否
综合物资,5400000225,,硼氢化钾/易制爆,,化验耗材,瓶,,其他,,,0,已启用,,,485.0,否,否
综合物资,30000769,,硝酸500ml优级纯/易制爆,,化验耗材,瓶,,其他,,,0,已启用,,,60.0,否,否
综合物资,30000633,,盐酸/化学纯/易制毒,,化验耗材,KG,,其他,,,0,已启用,,,40.0,否,否
综合物资,30001079,,丙酮/易制毒,,化验耗材,瓶,,其他,,,0,已启用,,,192.0,否,否
综合物资,30000634,,浓硫酸/98%/易制毒,,化验耗材,瓶,,其他,,,0,已启用,,,60.0,否,否
综合物资,30000635,,盐酸500ml分析纯/易制毒,,化验耗材,瓶,,其他,,,0,已启用,,,60.0,否,否
综合物资,5400000219,,石棉网/15cm*15cm(加厚款）,,化验耗材,片,,其他,,,0,已启用,,,8.0,否,否
综合物资,5400000218,,5021笔式电导仪/5021 Cond,,化验耗材,个,,其他,,,0,已启用,,,540.0,否,否
综合物资,5400000217,,50mL适配器/0~50mL,,化验耗材,个,大龙,其他,,,0,已启用,,,180.0,否,否
综合物资,5400000216,,50mL分液枪头/0~50mL,,化验耗材,个,大龙,其他,,,0,已启用,,,63.0,否,否
综合物资,5400000215,,StepMate连续分配移液器/0~50mL,,化验耗材,个,大龙,其他,,,0,已启用,,,1460.0,否,否
综合物资,5400000214,,实验室滴水架/深灰色27棒（免钉）螺丝固定或免钉,,化验耗材,个,,其他,,,0,已启用,,,150.0,否,否
综合物资,5400000213,,塑料滴管/5mL,,化验耗材,包,,其他,,,0,已启用,,,40.0,否,否
