序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
334,食材,80000316,五仁榨菜,0.001,干货调料类,包,,,,,0,已启用,,,0.00,否,否
335,食材,80000315,皮蛋,0.001,干货调料类,个,,,,,0,已启用,,,0.00,否,否
336,食材,6906303888885,王守义十三香调味品,45克,干货药材香料,盒,王守义,,720,,0,已启用,,,3.00,否,否
337,食材,80000313,干甘草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
338,食材,80000312,干姜,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
339,食材,80000311,干荜拨,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
340,食材,80000310,干灵草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
341,食材,80000309,干紫草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
342,食材,80000308,干排草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
343,食材,80000307,干白胡椒籽,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
344,食材,80000306,干孜然,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
345,食材,80000305,干肉蔻,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
346,食材,80000304,干罗汉果,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
347,食材,80000303,干丁香,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
348,食材,80000302,干香茅草,0.001,干货药材香料,KG,,,,,2,已停用,,,0.00,否,否
349,食材,80000301,干白扣,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
350,食材,80000300,干黄栀子,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
351,食材,80000299,干山奈,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
352,食材,80000298,干草果,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
353,食材,80000297,干良姜,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
354,食材,80000296,干山楂,0.001,干货药材香料,KG,,,,,2,已启用,0.000,,0.00,否,否
355,食材,80000295,干白芷,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
356,食材,80000294,干陈皮,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
357,食材,80000293,干小茴香,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
358,食材,80000292,干香叶,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
359,食材,80000291,干桂皮,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
