,序号,操作,主键ID,检测项目代码,适用类型,审批状态,启/禁状态,显示顺序,备注信息
,28,详情 反审 禁用,DREW0047,GC00000008,工序控制,已完成,启用,--,--
,29,详情 反审 禁用,DREW0046,GC00000007,工序控制,已完成,启用,--,--
,30,详情 反审 禁用,DREW0045,GC00000006,工序控制,已完成,启用,--,--
,31,详情 反审 禁用,DREW0044,GC00000005,工序控制,已完成,启用,--,--
,32,详情 反审 禁用,DREW0043,GC00000004,工序控制,已完成,启用,--,--
,33,详情 反审 禁用,DREW0042,GC00000003,工序控制,已完成,启用,--,--
,34,详情 反审 禁用,DREW0041,GC00000002,工序控制,已完成,启用,--,--
,35,详情 反审 禁用,DREW0040,GC00000001,工序控制,已完成,启用,--,--
,36,详情 反审 禁用,DREW0039,CC00000002,成品检测,已完成,启用,--,--
,37,详情 反审 禁用,DREW0038,CC00000001,成品检测,已完成,启用,--,--
,38,详情 反审 禁用,DREW0037,YF00000027,原材料检测,已完成,启用,--,--
,39,详情 反审 禁用,DREW0036,YF00000026,原材料检测,已完成,启用,--,--
,40,详情 反审 禁用,DREW0035,YF00000025,原材料检测,已完成,启用,--,--
,41,详情 反审 禁用,DREW0034,YF00000024,原材料检测,已完成,启用,--,--
,42,详情 反审 禁用,DREW0033,YF00000023,原材料检测,已完成,启用,--,--
,43,详情 反审 禁用,DREW0032,YF00000022,原材料检测,已完成,启用,--,--
,44,详情 反审 禁用,DREW0031,YF00000021,原材料检测,已完成,启用,--,--
,45,详情 反审 禁用,DREW0030,YF00000020,原材料检测,已完成,启用,--,--
,46,详情 反审 禁用,DREW0029,YF00000019,原材料检测,已完成,启用,--,--
,47,详情 反审 禁用,DREW0028,YF00000018,原材料检测,已完成,启用,--,--
,48,详情 反审 禁用,DREW0027,YF00000017,原材料检测,已完成,启用,--,--
,49,详情 反审 禁用,DREW0026,YF00000016,原材料检测,已完成,启用,--,--
,50,详情 反审 禁用,DREW0025,YF00000015,原材料检测,已完成,启用,--,--
,1,详情 反审 禁用,DREW0024,YF00000014,原材料检测,已完成,启用,--,--
,2,详情 反审 禁用,DREW0023,YF00000013,原材料检测,已完成,启用,--,--
,3,详情 反审 禁用,DREW0022,YF00000012,原材料检测,已完成,启用,--,--
,4,详情 反审 禁用,DREW0021,YF00000011,原材料检测,已完成,启用,--,--
,5,详情 反审 禁用,DREW0020,YF00000010,原材料检测,已完成,启用,--,--
,6,详情 反审 禁用,DREW0019,YF00000009,原材料检测,已完成,启用,--,--
