id,goods_code,goods_name,is_gift,weight,expiry_date,from_date,exp_arr,price,price_expiry_date,price_from_date,price_exp_arr,box_price,box_price_expiry_date,box_price_from_date,box_price_exp_arr
570,10001134,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,0,0.00740,2030-06-30,2024-06-01,"[{'id': 335, 'goods_id': 570, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-05-31', 'status': 1}, {'id': 344, 'goods_id': 570, 'weight': '0.00740', 'from_date': '2024-06-01', 'expiry_date': '2030-06-30', 'status': 2}, {'id': 345, 'goods_id': 570, 'weight': '0.00001', 'from_date': '2030-07-01', 'expiry_date': '9999-12-31', 'status': 0}]",,,,[],,,,[]
569,10001129,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,0,0.00740,2032-06-01,2024-05-01,"[{'id': 334, 'goods_id': 569, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-04-30', 'status': 1}, {'id': 340, 'goods_id': 569, 'weight': '0.00740', 'from_date': '2024-05-01', 'expiry_date': '2032-06-01', 'status': 2}, {'id': 341, 'goods_id': 569, 'weight': '0.00001', 'from_date': '2032-06-02', 'expiry_date': '9999-12-31', 'status': 0}]",,,,[],,,,[]
568,10001081,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024,0,0.00740,9999-12-31,2023-01-01,"[{'id': 333, 'goods_id': 568, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2023-01-01,"[{'id': 11, 'goods_id': 568, 'price': '112.80', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2023-01-01,"[{'id': 8, 'goods_id': 568, 'box_price': '2.15', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
676,81000320,国产/芙丝水330ML/24瓶装/宝姿联标,0,,,,[],,,,[],,,,[]
675,81000324,国产/芙丝水500ML*6*4/六连包彩膜装,0,,,,[],,,,[],,,,[]
674,81000235,国产/芙丝水500ML/24瓶装/万物有时节,0,,,,[],,,,[],,,,[]
673,11000405,战马/330ML/24/罐装/含气/春日白桃味/普通型,0,,,,[],,,,[],,,,[]
672,11000412,战马/330ML/24/罐装/含气/夏日柠檬味/扫码1元乐享/2026,0,,,,[],,,,[],,,,[]
671,11000411,战马/330ML/24/罐装/含气/春日白桃味/扫码1元乐享/2026,0,,,,[],,,,[],,,,[]
670,11000409,战马/330ML/24/罐装/含气/夏日柠檬味/收拉环1元乐享/2026,0,,,,[],,,,[],,,,[]
669,11000408,战马/330ML/24/罐装/含气/春日白桃味/收拉环1元乐享/2026,0,,,,[],,,,[],,,,[]
668,81000323,国产/芙丝水500ML/24瓶装/艺术家夏季限定装,0,0.01380,2099-12-31,2026-01-01,"[{'id': 375, 'goods_id': 668, 'weight': '0.01380', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",91.20,2099-12-31,2026-01-01,"[{'id': 22, 'goods_id': 668, 'price': '91.20', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",3.91,2099-12-31,2026-01-01,"[{'id': 19, 'goods_id': 668, 'box_price': '3.91', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
667,11000410,战马/330ML/24/罐装/含气/菠萝西柚味/扫码1元乐享/2026,0,0.00866,2099-12-31,2026-01-01,"[{'id': 374, 'goods_id': 667, 'weight': '0.00866', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",100.80,2099-12-31,2026-01-01,"[{'id': 21, 'goods_id': 667, 'price': '100.80', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",2.17,2099-12-31,2026-01-01,"[{'id': 18, 'goods_id': 667, 'box_price': '2.17', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
666,11000407,战马/330ML/24/罐装/含气/菠萝西柚味/收拉环1元乐享/2026,0,0.00866,2099-12-31,2026-01-01,"[{'id': 373, 'goods_id': 666, 'weight': '0.00866', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",100.80,2099-12-31,2026-01-01,"[{'id': 20, 'goods_id': 666, 'price': '100.80', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",2.17,2099-12-31,2026-01-01,"[{'id': 17, 'goods_id': 666, 'box_price': '2.17', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
665,81000287,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,0,0.00430,2099-12-31,2026-01-01,"[{'id': 372, 'goods_id': 665, 'weight': '0.00430', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",39.60,2099-12-31,2026-01-01,"[{'id': 19, 'goods_id': 665, 'price': '39.60', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]",1.38,2099-12-31,2026-01-01,"[{'id': 16, 'goods_id': 665, 'box_price': '1.38', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
653,10001199,红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026,0,,,,[],,,,[],,,,[]
652,10001198,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026,0,,,,[],,,,[],,,,[]
651,10001204,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,0,,,,[],,,,[],,,,[]
650,10001203,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,0,,,,[],,,,[],,,,[]
649,10001201,红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026,0,,,,[],,,,[],,,,[]
648,10001200,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026,0,,,,[],,,,[],,,,[]
644,11000372,战马/310ML/24/罐装/2026/线下1元乐享,0,,,,[],,,,[],,,,[]
643,11000371,战马/310ML/24/罐装/2026/线上1元乐享-新包装,0,,,,[],,,,[],,,,[]
641,81000290,国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标,0,,,,[],,,,[],,,,[]
640,81000258,国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡,0,,,,[],,,,[],,,,[]
639,81000225,国产/神农明珠天然泉水/350ML/24瓶/无外箱,0,,,,[],,,,[],,,,[]
638,81000237,国产/神农明珠天然泉水/5L/4桶装,0,,,,[],,,,[],,,,[]
637,81000227,国产/神农明珠天然泉水/5L/4桶装/无外箱,0,,,,[],,,,[],,,,[]
636,81000316,国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标,0,,,,[],,,,[],,,,[]
635,81000313,国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标,0,,,,[],,,,[],,,,[]
634,81000314,国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标,0,,,,[],,,,[],,,,[]
